对应资源编号(敌人、物件),位置,角度,缩放,技能(本层该敌人所使用的技能，1个或以上，该属性对障碍无效）,移动模式
string,string,string,string,string,number
ID,position,angle,scale,skill,movePattern
6001,"-7,1.6,-4.5","0,90,0",,,
6001,"-7,1.6,3.5","0,90,0",,,
6001,"10,1.6,-1","0,90,0",,,
6001,"10,1.6,-9","0,90,0",,,
6001,"11.5,1.6,-21",,,,
6003,"5.5,0,-1","0,90,0",,,
6003,"-2.5,0,-1","0,90,0",,,
6003,"1.5,0,3.5",,,,
6003,"1,0,-5.5",,,,
2001,"-7,1.62,-0.5",,,,
2004,"0.6,1.62,-0.7",,,107,3
2003,"11,1.62,-16",,,106,
2002,"8,1.62,5",,,101,
