对应资源编号(敌人、物件),位置,角度,缩放,技能(本层该敌人所使用的技能，1个或以上，该属性对障碍无效）,移动模式
string,string,string,string,string,number
ID,position,angle,scale,skill,movePattern
6001,"-7,1.6,4","0,90,0",,,
6001,"-7,1.6,0.2","0,90,0",,,
6001,"-7,1.6,-3.6","0,90,0",,,
6001,"0,1.6,0","0,90,0",,,
6001,"0,1.6,-3.8","0,90,0",,,
6001,"0,1.6,-7.6","0,90,0",,,
6001,"7,1.6,4","0,90,0",,,
6001,"7,1.6,0.2","0,90,0",,,
6001,"7,1.6,-3.6","0,90,0",,,
6002,"-8.3,1.6,6.5",,,,
6002,"5.5,1.6,6.5",,,,
2001,"-3,1.62,0",,,,
2002,"3.5,1.62,0",,,108,
2004,"11,1.62,0",,,107,
